h2,ch2,c2h2,c2h4,c2h6,act
32930,2397,0,0,157,PD
37800,1740,8,8,249,PD
92600,10200,0,0,0,PD
8266,1061,0,0,22,PD
9340,995,7,6,60,PD
36036,4704,10,5,554,PD
33046,619,0,2,58,PD
40280,1069,1,1,1060,PD
26788,18342,0,27,2111,PD
78 20 28 13 11 D1
305 100 541 161 33
35 6 482 26 3
543 120 1880 411 41 
1230 163 692 233 27 
645 86 317 110 13
60 10 4 4 4
95 10 39 11 0
6870 1028 5500 900 79
10092 5399 37565 6500 530
650 81 270 51 170
210 22 7 6 6
385 60 159 53 8
4230 690 1180 196 5
7600 1230 1560 836 318
595 80 244 89 9
120 25 40 8 1
8 0 101 43 0
6454 2313 6432 2159 121
2177 1049 705 440 207
1790 580 619 336 321
1330 10 182 66 20
4 1 52 7 2